// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\ujayn\Source\Repos\RestClientInvest\RestClientInvest\bin\Release\netcoreapp3.1\c5861457-4ad2-46a5-9646-b3cd05eba78d
// command took 1.36s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\ujayn\Source\Repos\RestClientInvest\RestClientInvest\bin\Release\netcoreapp3.1\c5861457-4ad2-46a5-9646-b3cd05eba78d
// command took 1.84s and exited with 0
// ***** Done, took 00:00:03 (3.42 sec)   *****
// Found 1 benchmarks:
//   Request.MainRequest: DefaultJob

// **************************
// Benchmark: Request.MainRequest: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "c5861457-4ad2-46a5-9646-b3cd05eba78d.dll" --benchmarkName "RestClientInvest.Request.MainRequest" --job "Default" --benchmarkId 0 in C:\Users\ujayn\Source\Repos\RestClientInvest\RestClientInvest\bin\Release\netcoreapp3.1\c5861457-4ad2-46a5-9646-b3cd05eba78d\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.0 (CoreCLR 4.700.19.56402, CoreFX 4.700.19.56404), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 230900.00 ns, 230.9000 us/op
WorkloadJitting  1: 1 op, 130900.00 ns, 130.9000 us/op

OverheadJitting  2: 16 op, 193000.00 ns, 12.0625 us/op
WorkloadJitting  2: 16 op, 200300.00 ns, 12.5188 us/op

WorkloadPilot    1: 16 op, 400.00 ns, 25.0000 ns/op
WorkloadPilot    2: 32 op, 400.00 ns, 12.5000 ns/op
WorkloadPilot    3: 64 op, 400.00 ns, 6.2500 ns/op
WorkloadPilot    4: 128 op, 500.00 ns, 3.9062 ns/op
WorkloadPilot    5: 256 op, 700.00 ns, 2.7344 ns/op
WorkloadPilot    6: 512 op, 1000.00 ns, 1.9531 ns/op
WorkloadPilot    7: 1024 op, 1800.00 ns, 1.7578 ns/op
WorkloadPilot    8: 2048 op, 3400.00 ns, 1.6602 ns/op
WorkloadPilot    9: 4096 op, 6200.00 ns, 1.5137 ns/op
WorkloadPilot   10: 8192 op, 12100.00 ns, 1.4771 ns/op
WorkloadPilot   11: 16384 op, 23900.00 ns, 1.4587 ns/op
WorkloadPilot   12: 32768 op, 47400.00 ns, 1.4465 ns/op
WorkloadPilot   13: 65536 op, 94400.00 ns, 1.4404 ns/op
WorkloadPilot   14: 131072 op, 188600.00 ns, 1.4389 ns/op
WorkloadPilot   15: 262144 op, 378300.00 ns, 1.4431 ns/op
WorkloadPilot   16: 524288 op, 841800.00 ns, 1.6056 ns/op
WorkloadPilot   17: 1048576 op, 1626900.00 ns, 1.5515 ns/op
WorkloadPilot   18: 2097152 op, 2987700.00 ns, 1.4246 ns/op
WorkloadPilot   19: 4194304 op, 6085100.00 ns, 1.4508 ns/op
WorkloadPilot   20: 8388608 op, 12120500.00 ns, 1.4449 ns/op
WorkloadPilot   21: 16777216 op, 25521900.00 ns, 1.5212 ns/op
WorkloadPilot   22: 33554432 op, 49322700.00 ns, 1.4699 ns/op
WorkloadPilot   23: 67108864 op, 97200800.00 ns, 1.4484 ns/op
WorkloadPilot   24: 134217728 op, 200881500.00 ns, 1.4967 ns/op
WorkloadPilot   25: 268435456 op, 388649700.00 ns, 1.4478 ns/op
WorkloadPilot   26: 536870912 op, 770264500.00 ns, 1.4347 ns/op

OverheadWarmup   1: 536870912 op, 762159800.00 ns, 1.4196 ns/op
OverheadWarmup   2: 536870912 op, 754344700.00 ns, 1.4051 ns/op
OverheadWarmup   3: 536870912 op, 763050700.00 ns, 1.4213 ns/op
OverheadWarmup   4: 536870912 op, 769574000.00 ns, 1.4334 ns/op
OverheadWarmup   5: 536870912 op, 762629300.00 ns, 1.4205 ns/op
OverheadWarmup   6: 536870912 op, 774129600.00 ns, 1.4419 ns/op
OverheadWarmup   7: 536870912 op, 758780400.00 ns, 1.4133 ns/op

OverheadActual   1: 536870912 op, 769434200.00 ns, 1.4332 ns/op
OverheadActual   2: 536870912 op, 768609800.00 ns, 1.4316 ns/op
OverheadActual   3: 536870912 op, 753438700.00 ns, 1.4034 ns/op
OverheadActual   4: 536870912 op, 760401200.00 ns, 1.4164 ns/op
OverheadActual   5: 536870912 op, 762508800.00 ns, 1.4203 ns/op
OverheadActual   6: 536870912 op, 761775600.00 ns, 1.4189 ns/op
OverheadActual   7: 536870912 op, 761965900.00 ns, 1.4193 ns/op
OverheadActual   8: 536870912 op, 759743200.00 ns, 1.4151 ns/op
OverheadActual   9: 536870912 op, 762049600.00 ns, 1.4194 ns/op
OverheadActual  10: 536870912 op, 766349900.00 ns, 1.4274 ns/op
OverheadActual  11: 536870912 op, 763232000.00 ns, 1.4216 ns/op
OverheadActual  12: 536870912 op, 760942700.00 ns, 1.4174 ns/op
OverheadActual  13: 536870912 op, 759239100.00 ns, 1.4142 ns/op
OverheadActual  14: 536870912 op, 767252100.00 ns, 1.4291 ns/op
OverheadActual  15: 536870912 op, 762981000.00 ns, 1.4212 ns/op

WorkloadWarmup   1: 536870912 op, 766650700.00 ns, 1.4280 ns/op
WorkloadWarmup   2: 536870912 op, 764482300.00 ns, 1.4240 ns/op
WorkloadWarmup   3: 536870912 op, 766901100.00 ns, 1.4285 ns/op
WorkloadWarmup   4: 536870912 op, 760105000.00 ns, 1.4158 ns/op
WorkloadWarmup   5: 536870912 op, 777680500.00 ns, 1.4485 ns/op
WorkloadWarmup   6: 536870912 op, 880544000.00 ns, 1.6401 ns/op
WorkloadWarmup   7: 536870912 op, 776795700.00 ns, 1.4469 ns/op

// BeforeActualRun
WorkloadActual   1: 536870912 op, 761102300.00 ns, 1.4177 ns/op
WorkloadActual   2: 536870912 op, 754888900.00 ns, 1.4061 ns/op
WorkloadActual   3: 536870912 op, 765866100.00 ns, 1.4265 ns/op
WorkloadActual   4: 536870912 op, 759456400.00 ns, 1.4146 ns/op
WorkloadActual   5: 536870912 op, 761984400.00 ns, 1.4193 ns/op
